Program_Combo,ID,Count
"A55180 - Criminal Justice Technology, C55180C10 - Criminal Justice Technology/Criminal Just Fundamentals Cert, C55180C11 - Criminal Justice Technology/Contemp Policing Studies Cert, C55180C4 - Criminal Justice Technology/Essential Law Enforcemnt Op Cert","[141062.0, 180076.0, 181048.0, 184076.0, 185093.0, 373951.0, 408050.0, 442445.0, 445906.0, 447297.0, 597069.0, 656230.0, 657973.0, 696496.0, 733268.0, 809650.0, 849602.0, 922253.0, 925316.0, 960263.0, 1112864.0, 1150656.0, 1185898.0, 1189460.0, 1226622.0, 1418676.0, 1458073.0, 1532790.0, 1570614.0, 1756362.0, 2436844.0, 2507974.0, 2514919.0, 2530461.0, 2531496.0, 2545128.0, 2545730.0, 2549390.0, 2557620.0, 2564365.0, 2566869.0, 2571488.0, 2572187.0, 2575327.0, 2583011.0, 2583905.0, 2585241.0, 2590322.0, 2607879.0, 2607987.0, 2613611.0, 2613786.0, 2614167.0, 2621402.0, 2622018.0, 2622520.0, 2637634.0, 2637705.0, 2640859.0, 2642374.0, 2644373.0, 2648171.0, 2653563.0, 2658048.0, 2659500.0, 2674627.0, 2674853.0, 2682628.0, 2693698.0, 2698315.0, 2725074.0, 2725781.0, 2733177.0, 2736996.0, 2741086.0, 2746576.0, 2748186.0, 2750587.0, 2758049.0, 2776239.0, 2779018.0, 2780163.0, 2780759.0, 2783208.0, 2784453.0, 2785477.0, 2785518.0, 2789352.0, 2801610.0, 2803715.0, 2805564.0, 2808427.0, 2819404.0, 2822273.0, 2823376.0, 2825738.0, 2828913.0, 2835207.0, 2837773.0, 2843663.0, 2843698.0, 2850729.0, 2852824.0, 2852951.0, 2853588.0, 2857636.0, 2863264.0, 2863553.0, 2866017.0, 2866546.0, 2867076.0, 2867123.0, 2871553.0, 2877580.0, 2878000.0, 2879069.0, 2880418.0, 2882924.0, 2887096.0, 2891304.0, 2892835.0, 2894442.0, 2895201.0, 2895217.0, 2895705.0, 2899414.0, 2899642.0, 2900707.0, 2901165.0, 2904959.0, 2906780.0, 2908805.0, 2910154.0, 2911975.0, 2913164.0, 2918304.0, 2918910.0, 2919003.0, 2923087.0, 2924193.0, 2924436.0, 2925122.0, 2927623.0, 2928653.0, 2929437.0, 2934959.0, 2936696.0, 2937389.0, 2937674.0, 2939620.0, 2940286.0, 2941709.0, 2942435.0, 2942686.0, 2942884.0, 2943534.0, 2943814.0, 2944477.0, 2946324.0, 2947486.0, 2947531.0, 2948211.0, 2949112.0, 2949469.0, 2949932.0, 2949980.0, 2950017.0, 2951459.0, 2951752.0, 2951769.0, 2952224.0, 2953393.0, 2954373.0, 2954978.0, 2955323.0, 2955804.0, 2955893.0, 2956277.0, 2956512.0, 2956613.0, 2956930.0, 2957378.0, 2958421.0, 2958652.0, 2958788.0, 2959599.0, 2960319.0, 2960362.0, 2960478.0, 2961753.0, 2962407.0, 2962627.0, 2962883.0, 2963081.0, 2963166.0, 2963358.0, 2964232.0, 2964928.0, 2965875.0, 2965900.0, 2966112.0, 2966205.0, 2966768.0, 2968930.0, 2968935.0, 2968936.0, 2968938.0, 2969179.0, 2969335.0, 2969809.0, 2970013.0, 2970089.0, 2970175.0, 2970341.0, 2971761.0, 2972651.0, 2972896.0, 2973900.0, 2973933.0, 2974267.0, 2974450.0, 2974505.0, 2975095.0, 2975743.0, 2976988.0, 2977072.0, 2977283.0, 2978040.0, 2980543.0, 2980610.0, 2980904.0, 2981537.0, 2982105.0, 2982323.0, 2982843.0, 2983842.0, 2984064.0, 2985599.0, 2985848.0, 2986081.0, 2986288.0, 2986441.0, 2986899.0, 2987552.0, 2987651.0, 2987684.0, 2989809.0, 2989956.0, 2991374.0, 2991554.0, 2992340.0, 2992365.0, 2992410.0, 2992441.0, 2992839.0, 2992915.0, 2992951.0, 2993537.0, 2994877.0, 2995069.0, 2995434.0, 2995525.0, 2995914.0, 2996635.0, 2996661.0, 2996714.0, 2996762.0, 2997299.0, 2997996.0, 2998318.0, 2998350.0, 2999706.0, 2999710.0, 2999726.0, 3000353.0, 3000766.0, 3000841.0, 3000878.0, 3001482.0, 3002303.0, 3003374.0, 3003377.0, 3003542.0, 3004814.0, 3004899.0, 3005411.0, 3005431.0, 3006143.0, 3006375.0, 3006409.0, 3006465.0, 3006573.0, 3007011.0, 3007083.0, 3007231.0, 3007277.0, 3007332.0, 3007474.0, 3008125.0, 3008511.0, 3009233.0, 3009664.0, 3009870.0, 3009880.0, 3009960.0, 3010086.0, 3010334.0, 3010931.0, 3011454.0, 3012279.0, 3012414.0, 3012738.0, 3012786.0, 3012812.0, 3012935.0, 3013189.0, 3013330.0, 3013521.0, 3013749.0, 3013817.0, 3015008.0, 3015152.0, 3017050.0, 3017121.0, 3021059.0]",325
"A25120G - Business Administration /General Business Administration, C25120C10 - Business Administration /Business Foundations Certificate","[108705.0, 179648.0, 179686.0, 220069.0, 521157.0, 557570.0, 558921.0, 561439.0, 695030.0, 845293.0, 1033656.0, 1078551.0, 1111002.0, 1187978.0, 1188138.0, 1264725.0, 1304528.0, 1379308.0, 1382878.0, 1418978.0, 1530315.0, 1569590.0, 1607754.0, 1646591.0, 2478036.0, 2484136.0, 2488569.0, 2490854.0, 2493992.0, 2508600.0, 2511806.0, 2514757.0, 2515447.0, 2518582.0, 2543027.0, 2550261.0, 2552908.0, 2556936.0, 2560950.0, 2570306.0, 2572931.0, 2582294.0, 2590552.0, 2591818.0, 2596193.0, 2605138.0, 2605920.0, 2608411.0, 2610902.0, 2615357.0, 2623660.0, 2624170.0, 2631636.0, 2638868.0, 2643184.0, 2656938.0, 2657048.0, 2657146.0, 2663138.0, 2670235.0, 2672879.0, 2673562.0, 2681286.0, 2685052.0, 2691309.0, 2709481.0, 2715596.0, 2731102.0, 2737146.0, 2746801.0, 2762726.0, 2766585.0, 2772824.0, 2775235.0, 2788262.0, 2789403.0, 2791733.0, 2812120.0, 2814296.0, 2817501.0, 2818088.0, 2828598.0, 2829209.0, 2834479.0, 2835560.0, 2836628.0, 2838221.0, 2841758.0, 2842084.0, 2842241.0, 2846210.0, 2850017.0, 2850607.0, 2860494.0, 2869896.0, 2871096.0, 2872607.0, 2872660.0, 2874770.0, 2874954.0, 2874975.0, 2876793.0, 2880811.0, 2881254.0, 2881382.0, 2882506.0, 2882962.0, 2894038.0, 2895146.0, 2896774.0, 2897262.0, 2899236.0, 2899848.0, 2900093.0, 2900268.0, 2905657.0, 2908609.0, 2908791.0, 2908921.0, 2911714.0, 2912735.0, 2912916.0, 2913080.0, 2913522.0, 2915032.0, 2916314.0, 2917341.0, 2919424.0, 2924794.0, 2925559.0, 2935370.0, 2937499.0, 2939946.0, 2940840.0, 2941224.0, 2941675.0, 2942423.0, 2945667.0, 2946177.0, 2946549.0, 2949130.0, 2952337.0, 2954275.0, 2955123.0, 2955133.0, 2955820.0, 2959728.0, 2961557.0, 2961571.0, 2962192.0, 2962731.0, 2963755.0, 2963785.0, 2964387.0, 2966568.0, 2970024.0, 2973633.0, 2973988.0, 2974319.0, 2974569.0, 2975961.0, 2977534.0, 2980793.0, 2981331.0, 2982501.0, 2982945.0, 2983039.0, 2983148.0, 2983675.0, 2984310.0, 2984334.0, 2985575.0, 2985950.0, 2986574.0, 2987966.0, 2988039.0, 2989085.0, 2991097.0, 2991142.0, 2991456.0, 2991747.0, 2991764.0, 2992632.0, 2993553.0, 2993873.0, 2993975.0, 2995064.0, 2995097.0, 2995156.0, 2996813.0, 2999508.0, 2999611.0, 2999618.0, 2999646.0, 2999793.0, 3000118.0, 3000142.0, 3000143.0, 3000314.0, 3000342.0, 3000345.0, 3001226.0, 3001497.0, 3001596.0, 3001609.0, 3002061.0, 3002309.0, 3002330.0, 3002375.0, 3003056.0, 3003095.0, 3003194.0, 3003291.0, 3003536.0, 3004393.0, 3004530.0, 3004678.0, 3004936.0, 3005774.0, 3005867.0, 3005921.0, 3006497.0, 3006684.0, 3007172.0, 3007477.0, 3008094.0, 3008267.0, 3008292.0, 3008331.0, 3008429.0, 3008480.0, 3008513.0, 3008663.0, 3008744.0, 3008782.0, 3008846.0, 3009110.0, 3009133.0, 3009698.0, 3009744.0, 3009811.0, 3010498.0, 3010725.0, 3011042.0, 3011058.0, 3011733.0, 3011875.0, 3012117.0, 3012124.0, 3012331.0, 3012758.0, 3012765.0, 3013329.0, 3013348.0, 3013652.0, 3014347.0, 3015138.0, 3015607.0, 3015648.0, 3016280.0, 3016500.0, 3016576.0, 3017639.0, 3017822.0, 3018760.0, 3018785.0, 3018869.0, 3019211.0]",268
"A1030N - Associate in General Education-Nursing, A45110 - Associate Degree Nursing","[77768.0, 107692.0, 333399.0, 561735.0, 656858.0, 731336.0, 772302.0, 883453.0, 998060.0, 998649.0, 1230558.0, 1496249.0, 1531097.0, 2474546.0, 2474656.0, 2503040.0, 2509777.0, 2521313.0, 2523692.0, 2526169.0, 2536040.0, 2546198.0, 2555813.0, 2577532.0, 2578280.0, 2594619.0, 2595200.0, 2603957.0, 2632611.0, 2638216.0, 2655622.0, 2656061.0, 2658936.0, 2673647.0, 2678710.0, 2683686.0, 2695458.0, 2698131.0, 2718809.0, 2719078.0, 2722331.0, 2724582.0, 2729155.0, 2731803.0, 2732720.0, 2746754.0, 2754291.0, 2754293.0, 2758535.0, 2759409.0, 2760954.0, 2762543.0, 2769393.0, 2781742.0, 2785561.0, 2792324.0, 2794968.0, 2802194.0, 2806089.0, 2809201.0, 2815433.0, 2816991.0, 2817558.0, 2821269.0, 2823292.0, 2826163.0, 2828599.0, 2831790.0, 2836826.0, 2838395.0, 2838941.0, 2839024.0, 2844919.0, 2851226.0, 2853436.0, 2854793.0, 2854932.0, 2860493.0, 2861278.0, 2862218.0, 2862365.0, 2862687.0, 2863994.0, 2866233.0, 2866880.0, 2868263.0, 2868577.0, 2868872.0, 2871040.0, 2872180.0, 2873924.0, 2875557.0, 2878131.0, 2878331.0, 2880183.0, 2884538.0, 2884550.0, 2885426.0, 2886287.0, 2887716.0, 2891107.0, 2891254.0, 2892503.0, 2892881.0, 2894676.0, 2897712.0, 2900358.0, 2901434.0, 2901847.0, 2903237.0, 2903460.0, 2904287.0, 2906203.0, 2910674.0, 2912458.0, 2917968.0, 2918078.0, 2918460.0, 2919994.0, 2922619.0, 2923231.0, 2923249.0, 2923468.0, 2923804.0, 2923805.0, 2924715.0, 2925482.0, 2928398.0, 2928790.0, 2929879.0, 2930143.0, 2931185.0, 2934485.0, 2934558.0, 2935267.0, 2936218.0, 2937166.0, 2938830.0, 2939057.0, 2940444.0, 2940662.0, 2940930.0, 2941261.0, 2941834.0, 2942927.0, 2943331.0, 2945177.0, 2947249.0, 2947742.0, 2948740.0, 2949440.0, 2949640.0, 2950300.0, 2950467.0, 2951007.0, 2951374.0, 2952098.0, 2952223.0, 2952933.0, 2953013.0, 2953231.0, 2953509.0, 2953923.0, 2954832.0, 2954928.0, 2955064.0, 2955113.0, 2955488.0, 2955965.0, 2956486.0, 2956946.0, 2957505.0, 2958015.0, 2958779.0, 2959002.0, 2959297.0, 2959351.0, 2959460.0, 2960363.0, 2960760.0, 2960809.0, 2961271.0, 2961755.0, 2962020.0, 2962132.0, 2963613.0, 2963957.0, 2964173.0, 2964556.0, 2964782.0, 2964954.0, 2966255.0, 2966397.0, 2966546.0, 2966637.0, 2966740.0, 2966776.0, 2966876.0, 2966949.0, 2967813.0, 2968041.0, 2968586.0, 2970866.0, 2971170.0, 2972481.0, 2973045.0, 2973215.0, 2973216.0, 2973232.0, 2973501.0, 2973703.0, 2974292.0, 2974516.0, 2974732.0, 2975050.0, 2975710.0, 2975713.0, 2976384.0, 2976571.0, 2976786.0, 2977075.0, 2977112.0, 2978803.0, 2979616.0, 2979863.0, 2979944.0, 2980303.0, 2980704.0, 2981323.0, 2982035.0, 2983277.0, 2983863.0, 2984578.0, 2986063.0, 2986580.0, 2986674.0, 2987261.0, 2988375.0, 2988940.0, 2988980.0, 2989029.0, 2989896.0, 2990179.0, 2990353.0, 2990430.0, 2990768.0, 2991126.0, 2991371.0, 2994069.0, 2994901.0, 2995182.0, 2996144.0, 2996224.0, 2996735.0, 3001061.0, 3001933.0, 3002803.0, 3002870.0, 3003134.0, 3004588.0, 3005224.0, 3006566.0, 3008798.0]",263
"A55220G - Early Childhood Education/General Early Childhood Education, C55220C2 - Early Childhood Education/Child Care Development Certificate, C55220C3 - Early Childhood Education/Child Care Professional Certificat","[106651.0, 108806.0, 179708.0, 184327.0, 366402.0, 368201.0, 370158.0, 407294.0, 407570.0, 442139.0, 482210.0, 524993.0, 558033.0, 593509.0, 692319.0, 692747.0, 694757.0, 1072501.0, 1072709.0, 1190784.0, 1227414.0, 1303905.0, 1382658.0, 1454750.0, 1454928.0, 1492076.0, 1492934.0, 1606766.0, 1642961.0, 2477919.0, 2482320.0, 2501104.0, 2513186.0, 2518060.0, 2520279.0, 2526509.0, 2526741.0, 2533367.0, 2538427.0, 2547137.0, 2555647.0, 2564289.0, 2565670.0, 2569858.0, 2572052.0, 2587472.0, 2589381.0, 2596957.0, 2609895.0, 2611151.0, 2612630.0, 2621850.0, 2643422.0, 2644205.0, 2650516.0, 2652747.0, 2657403.0, 2663828.0, 2666615.0, 2670929.0, 2678088.0, 2697034.0, 2707834.0, 2738018.0, 2744171.0, 2745701.0, 2747215.0, 2749731.0, 2752563.0, 2760481.0, 2761646.0, 2765544.0, 2770090.0, 2782133.0, 2782218.0, 2791896.0, 2792823.0, 2801779.0, 2810092.0, 2811558.0, 2811868.0, 2819620.0, 2821066.0, 2824147.0, 2825183.0, 2843173.0, 2844882.0, 2845109.0, 2848251.0, 2848399.0, 2854955.0, 2859380.0, 2861796.0, 2862202.0, 2868623.0, 2869829.0, 2880547.0, 2883192.0, 2887295.0, 2889992.0, 2893157.0, 2896681.0, 2897709.0, 2898895.0, 2898965.0, 2902851.0, 2905999.0, 2907179.0, 2908333.0, 2908610.0, 2914649.0, 2915706.0, 2917086.0, 2917803.0, 2919440.0, 2922767.0, 2924280.0, 2924460.0, 2930637.0, 2932123.0, 2934058.0, 2939239.0, 2939707.0, 2940797.0, 2941423.0, 2943177.0, 2952757.0, 2956899.0, 2961143.0, 2961319.0, 2961537.0, 2964058.0, 2964737.0, 2965537.0, 2969006.0, 2972461.0, 2973184.0, 2974348.0, 2975705.0, 2975982.0, 2976644.0, 2979389.0, 2979902.0, 2981806.0, 2983802.0, 2984484.0, 2986216.0, 2989046.0, 2989107.0, 2990393.0, 2991430.0, 2993604.0, 2996566.0, 2997043.0, 2997163.0, 2998021.0, 2998166.0, 2998830.0, 2999464.0, 2999622.0, 2999886.0, 3001599.0, 3001889.0, 3001936.0, 3002228.0, 3002834.0, 3003493.0, 3003881.0, 3005253.0, 3005857.0, 3006126.0, 3007806.0, 3008017.0, 3008239.0, 3008395.0, 3008402.0, 3008613.0, 3008916.0, 3009180.0, 3009252.0, 3009425.0, 3009565.0, 3009818.0, 3010913.0, 3011311.0, 3011641.0, 3011665.0, 3012205.0, 3012402.0, 3012866.0, 3012878.0, 3013162.0, 3013300.0, 3013560.0, 3013684.0, 3014330.0, 3014838.0, 3016875.0, 3018035.0, 3019427.0, 3019492.0, 3021377.0]",202
"C50420C1 - Welding Technology/Basic Welding Certificate, D50420 - Welding Technology","[595961.0, 695543.0, 1111922.0, 1340159.0, 2445025.0, 2530226.0, 2551259.0, 2582620.0, 2587919.0, 2625604.0, 2642680.0, 2645231.0, 2668653.0, 2682832.0, 2687537.0, 2713497.0, 2715636.0, 2732845.0, 2743676.0, 2774692.0, 2778800.0, 2778804.0, 2786958.0, 2787864.0, 2801478.0, 2807485.0, 2815301.0, 2815926.0, 2823448.0, 2823680.0, 2826086.0, 2835778.0, 2837955.0, 2842064.0, 2842396.0, 2848485.0, 2850821.0, 2853703.0, 2854078.0, 2854174.0, 2855175.0, 2863049.0, 2870709.0, 2870941.0, 2872622.0, 2873575.0, 2876040.0, 2878707.0, 2886777.0, 2890334.0, 2890382.0, 2891904.0, 2892266.0, 2893899.0, 2900172.0, 2900924.0, 2902107.0, 2905323.0, 2911040.0, 2922398.0, 2926453.0, 2926841.0, 2932197.0, 2938681.0, 2938834.0, 2947581.0, 2947623.0, 2950601.0, 2953366.0, 2953581.0, 2954035.0, 2954862.0, 2956624.0, 2957653.0, 2959072.0, 2962373.0, 2962861.0, 2964303.0, 2964791.0, 2965557.0, 2966403.0, 2967635.0, 2968232.0, 2969136.0, 2970350.0, 2971372.0, 2971538.0, 2971819.0, 2973102.0, 2976251.0, 2979353.0, 2979945.0, 2980157.0, 2980807.0, 2981196.0, 2982331.0, 2984717.0, 2984779.0, 2986353.0, 2987206.0, 2987781.0, 2987818.0, 2988184.0, 2989592.0, 2993182.0, 2993706.0, 2994232.0, 2996064.0, 2996397.0, 2998496.0, 2998610.0, 2999721.0, 2999899.0, 3000099.0, 3001927.0, 3002833.0, 3002890.0, 3003880.0, 3003936.0, 3005221.0, 3005368.0, 3005584.0, 3005731.0, 3006605.0, 3007382.0, 3008797.0, 3008832.0, 3009064.0, 3009661.0, 3009846.0, 3009940.0, 3010387.0, 3011583.0, 3011841.0, 3012311.0, 3012527.0, 3013385.0, 3013564.0, 3014385.0, 3014473.0, 3015117.0, 3016170.0, 3016279.0, 3016312.0, 3016666.0, 3016909.0, 3017073.0, 3017278.0, 3017693.0, 3019773.0]",150
"A25590S - Information Technology/Systems Security & Analysis, C25590C21 - Information Technology/Network Defense Spec Certificate","[76942.0, 1453077.0, 1455701.0, 1494297.0, 1530669.0, 2481348.0, 2535887.0, 2537236.0, 2540719.0, 2582087.0, 2584040.0, 2603811.0, 2646104.0, 2648195.0, 2654107.0, 2661312.0, 2668209.0, 2684340.0, 2711361.0, 2715360.0, 2721707.0, 2748033.0, 2748364.0, 2751027.0, 2756570.0, 2760605.0, 2766549.0, 2777880.0, 2780223.0, 2788296.0, 2789495.0, 2790993.0, 2814765.0, 2816071.0, 2822112.0, 2824888.0, 2825695.0, 2830740.0, 2852534.0, 2860743.0, 2866571.0, 2871901.0, 2886013.0, 2892057.0, 2895322.0, 2896273.0, 2901358.0, 2901513.0, 2903033.0, 2904695.0, 2908402.0, 2923690.0, 2927301.0, 2933740.0, 2933829.0, 2941942.0, 2942246.0, 2942301.0, 2946080.0, 2947056.0, 2949458.0, 2951728.0, 2952115.0, 2954988.0, 2956923.0, 2958842.0, 2960047.0, 2962417.0, 2963465.0, 2964361.0, 2965232.0, 2966124.0, 2966422.0, 2967092.0, 2969693.0, 2972200.0, 2974174.0, 2974553.0, 2975753.0, 2976188.0, 2978499.0, 2980023.0, 2983245.0, 2989430.0, 2990075.0, 2990776.0, 2992047.0, 2992731.0, 2993274.0, 2993536.0, 2993586.0, 2994342.0, 2995173.0, 2995386.0, 2997530.0, 2997536.0, 2997608.0, 2998943.0, 2999663.0, 3001165.0, 3001310.0, 3001386.0, 3002023.0, 3002260.0, 3003756.0, 3003864.0, 3004172.0, 3004554.0, 3004940.0, 3005309.0, 3005340.0, 3005827.0, 3006277.0, 3006372.0, 3006443.0, 3007378.0, 3007722.0, 3007761.0, 3007951.0, 3008489.0, 3008519.0, 3009107.0, 3009186.0, 3009237.0, 3009361.0, 3009428.0, 3009441.0, 3009577.0, 3009624.0, 3009687.0, 3010058.0, 3010179.0, 3010750.0, 3010767.0, 3011170.0, 3012392.0, 3012755.0, 3014588.0, 3017172.0, 3018543.0, 3018758.0, 3019306.0, 3020400.0]",143
"A25120G - Business Administration /General Business Administration, C25120C10 - Business Administration /Business Foundations Certificate, C25120C11 - Business Administration/Small Business Operations Cert, C25120C22 - Business Administration /Leadership and Mgt Certificate, C25120C9 - Business Administration /Organizational Leadership Cert","[294023.0, 408938.0, 559108.0, 1034330.0, 1151063.0, 1186943.0, 2476925.0, 2510640.0, 2512633.0, 2513897.0, 2553250.0, 2567115.0, 2606949.0, 2650721.0, 2665214.0, 2667733.0, 2711955.0, 2719388.0, 2744481.0, 2745483.0, 2748155.0, 2764824.0, 2765526.0, 2779304.0, 2784181.0, 2787611.0, 2791470.0, 2791570.0, 2795332.0, 2805621.0, 2807907.0, 2811966.0, 2817781.0, 2822403.0, 2835001.0, 2840924.0, 2849803.0, 2851394.0, 2852302.0, 2875268.0, 2879223.0, 2880005.0, 2881284.0, 2889631.0, 2893647.0, 2895022.0, 2900205.0, 2903039.0, 2911088.0, 2914143.0, 2917213.0, 2917379.0, 2918386.0, 2930533.0, 2931998.0, 2937195.0, 2939854.0, 2941831.0, 2942198.0, 2943658.0, 2945052.0, 2945764.0, 2946241.0, 2947442.0, 2947765.0, 2951188.0, 2952775.0, 2956666.0, 2957072.0, 2962202.0, 2963256.0, 2965627.0, 2965896.0, 2967858.0, 2968648.0, 2969698.0, 2970255.0, 2970976.0, 2971084.0, 2971359.0, 2971398.0, 2971947.0, 2972505.0, 2972834.0, 2974186.0, 2974863.0, 2975128.0, 2975949.0, 2976500.0, 2978467.0, 2978842.0, 2979260.0, 2980333.0, 2981026.0, 2981290.0, 2981489.0, 2981920.0, 2981959.0, 2981979.0, 2982621.0, 2982768.0, 2982938.0, 2983050.0, 2983737.0, 2983834.0, 2984489.0, 2984577.0, 2986180.0, 2986450.0, 2988111.0, 2988377.0, 2988549.0, 2988582.0, 2988838.0, 2988854.0, 2989166.0, 2989795.0, 2989965.0, 2990512.0, 2991342.0, 2991671.0, 2992276.0, 2992390.0, 2992482.0, 2992487.0, 2992600.0, 2993003.0, 2993053.0, 2993222.0, 2995172.0, 2995199.0, 2995257.0, 2995674.0, 2995753.0, 2996225.0, 2996733.0, 2996828.0, 2997143.0, 2997324.0, 2997553.0, 2998129.0, 2998652.0]",142
"A25120H - Business Administration /Human Resources Management, C25120C10 - Business Administration /Business Foundations Certificate","[106123.0, 108041.0, 144720.0, 562090.0, 658466.0, 694421.0, 696216.0, 773431.0, 775245.0, 920762.0, 923514.0, 960251.0, 998633.0, 1186606.0, 1305481.0, 1571064.0, 2204163.0, 2439593.0, 2481768.0, 2485108.0, 2485842.0, 2492633.0, 2497858.0, 2513971.0, 2518271.0, 2520526.0, 2525590.0, 2567614.0, 2567811.0, 2582272.0, 2623562.0, 2623926.0, 2624964.0, 2628238.0, 2655272.0, 2655754.0, 2701736.0, 2714629.0, 2717930.0, 2729449.0, 2734562.0, 2738760.0, 2743366.0, 2745939.0, 2746816.0, 2751997.0, 2757395.0, 2759634.0, 2760944.0, 2765141.0, 2767448.0, 2773458.0, 2782715.0, 2790408.0, 2801590.0, 2802019.0, 2806833.0, 2816345.0, 2826259.0, 2830175.0, 2836321.0, 2836901.0, 2839234.0, 2840313.0, 2880184.0, 2881796.0, 2883643.0, 2883811.0, 2892620.0, 2893375.0, 2897551.0, 2907928.0, 2909421.0, 2913539.0, 2923652.0, 2933630.0, 2936071.0, 2948482.0, 2949233.0, 2950860.0, 2954717.0, 2957585.0, 2961086.0, 2965132.0, 2966072.0, 2968016.0, 2969200.0, 2969535.0, 2971031.0, 2971450.0, 2973563.0, 2973939.0, 2974111.0, 2974411.0, 2974511.0, 2978348.0, 2979820.0, 2983775.0, 2984473.0, 2985998.0, 2987958.0, 2989348.0, 2992004.0, 2992077.0, 2995662.0, 2995854.0, 2996107.0, 2997589.0, 2998174.0, 2998520.0, 2999902.0, 3000000.0, 3000303.0, 3000844.0, 3002454.0, 3002569.0, 3004478.0, 3004868.0, 3005052.0, 3005197.0, 3006127.0, 3006720.0, 3007387.0, 3007492.0, 3007696.0, 3008115.0, 3008403.0, 3008821.0, 3011480.0, 3014359.0, 3014414.0, 3016471.0, 3017284.0, 3017957.0, 3017968.0, 3018284.0, 3018582.0, 3019771.0, 3020704.0, 3021374.0, 3021559.0]",141
"A35100 - Air Conditioning, Heating & Refrigeration Technology, C35100 - Basic A/C, Heating & Refrigeration","[144310.0, 217573.0, 333445.0, 518815.0, 846437.0, 847085.0, 1344754.0, 1418305.0, 1644738.0, 1648948.0, 2485312.0, 2491380.0, 2503518.0, 2515760.0, 2553923.0, 2572470.0, 2595854.0, 2597307.0, 2609755.0, 2612940.0, 2633039.0, 2673830.0, 2682437.0, 2685483.0, 2695590.0, 2698596.0, 2716740.0, 2717235.0, 2725902.0, 2728606.0, 2731738.0, 2757412.0, 2783526.0, 2789984.0, 2791156.0, 2806995.0, 2811936.0, 2824234.0, 2825364.0, 2828653.0, 2861421.0, 2866986.0, 2886710.0, 2894293.0, 2896920.0, 2902823.0, 2908581.0, 2919289.0, 2926125.0, 2930883.0, 2932852.0, 2936317.0, 2941999.0, 2948594.0, 2954926.0, 2958535.0, 2963304.0, 2966069.0, 2974248.0, 2974333.0, 2975744.0, 2975826.0, 2978192.0, 2980334.0, 2981705.0, 2981938.0, 2983415.0, 2983579.0, 2986107.0, 2987486.0, 2987960.0, 2987969.0, 2987972.0, 2988151.0, 2988290.0, 2990917.0, 2991041.0, 2991220.0, 2991497.0, 2991732.0, 2992202.0, 2992403.0, 2992726.0, 2992816.0, 2993034.0, 2993227.0, 2994056.0, 2995209.0, 2995451.0, 2995507.0, 2996398.0, 2997403.0, 2998553.0, 2998586.0, 2998629.0, 2999145.0, 2999973.0, 2999982.0, 3000326.0, 3000834.0, 3000835.0, 3001073.0, 3001248.0, 3002378.0, 3003916.0, 3004461.0, 3005850.0, 3006322.0, 3006353.0, 3006929.0, 3007379.0, 3007394.0, 3008075.0, 3008780.0, 3008879.0, 3009025.0, 3009077.0, 3009993.0, 3010676.0, 3010693.0, 3010745.0, 3011064.0, 3011248.0, 3011854.0, 3016008.0, 3016336.0, 3016856.0, 3017271.0, 3018332.0, 3019743.0, 3020541.0]",131
"A55220G - Early Childhood Education/General Early Childhood Education, C55220C2 - Early Childhood Education/Child Care Development Certificate, C55220C3 - Early Childhood Education/Child Care Professional Certificat, C55290 - Infant/Toddler Care (Certificate), C55860 - Early Childhood Preschool","[105627.0, 107197.0, 367600.0, 692414.0, 695005.0, 732776.0, 733478.0, 770377.0, 957185.0, 960365.0, 1148940.0, 1186822.0, 1454624.0, 1604721.0, 2486212.0, 2492914.0, 2502786.0, 2509675.0, 2511781.0, 2515250.0, 2526360.0, 2527504.0, 2537260.0, 2538874.0, 2551175.0, 2553804.0, 2562111.0, 2579856.0, 2586450.0, 2592603.0, 2594087.0, 2597250.0, 2607073.0, 2616261.0, 2641975.0, 2664602.0, 2683256.0, 2687303.0, 2698327.0, 2701206.0, 2706208.0, 2716539.0, 2717361.0, 2726534.0, 2734558.0, 2751271.0, 2759445.0, 2759724.0, 2764276.0, 2766796.0, 2773017.0, 2779911.0, 2781112.0, 2787492.0, 2789247.0, 2812831.0, 2818224.0, 2819150.0, 2823368.0, 2824440.0, 2824486.0, 2830813.0, 2841391.0, 2851318.0, 2854579.0, 2863267.0, 2865733.0, 2876474.0, 2893548.0, 2897014.0, 2901609.0, 2910187.0, 2911299.0, 2915496.0, 2917568.0, 2920439.0, 2923622.0, 2927481.0, 2928697.0, 2936597.0, 2937492.0, 2938983.0, 2941306.0, 2943629.0, 2946219.0, 2946420.0, 2946503.0, 2948469.0, 2952497.0, 2955855.0, 2956539.0, 2957349.0, 2957521.0, 2958032.0, 2959417.0, 2959657.0, 2961440.0, 2961997.0, 2962437.0, 2962597.0, 2962981.0, 2965143.0, 2966986.0, 2967447.0, 2969133.0, 2970980.0, 2971169.0, 2974680.0, 2976496.0, 2977463.0, 2978562.0, 2980725.0, 2981900.0, 2983372.0, 2987277.0, 2987881.0, 2988064.0, 2988580.0, 2988887.0, 2989008.0, 2989188.0, 2991057.0, 2992221.0, 2994684.0, 2995163.0, 2995971.0, 2996987.0, 2998145.0]",128
