Program_Combo,ID,Count
"C50420C1 - Welding Technology/Basic Welding Certificate, D50420 - Welding Technology","[595961.0, 695543.0, 1111922.0, 1340159.0, 2445025.0, 2530226.0, 2551259.0, 2582620.0, 2587919.0, 2625604.0, 2642680.0, 2645231.0, 2668653.0, 2682832.0, 2687537.0, 2713497.0, 2715636.0, 2732845.0, 2743676.0, 2774692.0, 2778800.0, 2778804.0, 2786958.0, 2787864.0, 2801478.0, 2807485.0, 2815301.0, 2815926.0, 2823448.0, 2823680.0, 2826086.0, 2835778.0, 2837955.0, 2842064.0, 2842396.0, 2848485.0, 2850821.0, 2853703.0, 2854078.0, 2854174.0, 2855175.0, 2863049.0, 2870709.0, 2870941.0, 2872622.0, 2873575.0, 2876040.0, 2878707.0, 2886777.0, 2890334.0, 2890382.0, 2891904.0, 2892266.0, 2893899.0, 2900172.0, 2900924.0, 2902107.0, 2905323.0, 2911040.0, 2922398.0, 2926453.0, 2926841.0, 2932197.0, 2938681.0, 2938834.0, 2947581.0, 2947623.0, 2950601.0, 2953366.0, 2953581.0, 2954035.0, 2954862.0, 2956624.0, 2957653.0, 2959072.0, 2962373.0, 2962861.0, 2964303.0, 2964791.0, 2965557.0, 2966403.0, 2967635.0, 2968232.0, 2969136.0, 2970350.0, 2971372.0, 2971538.0, 2971819.0, 2973102.0, 2976251.0, 2979353.0, 2979945.0, 2980157.0, 2980807.0, 2981196.0, 2982331.0, 2984717.0, 2984779.0, 2986353.0, 2987206.0, 2987781.0, 2987818.0, 2988184.0, 2989592.0, 2993182.0, 2993706.0, 2994232.0, 2996064.0, 2996397.0, 2998496.0, 2998610.0, 2999721.0, 2999899.0, 3000099.0, 3001927.0, 3002833.0, 3002890.0, 3003880.0, 3003936.0, 3005221.0, 3005368.0, 3005584.0, 3005731.0, 3006605.0, 3007382.0, 3008797.0, 3008832.0, 3009064.0, 3009661.0, 3009846.0, 3009940.0, 3010387.0, 3011583.0, 3011841.0, 3012311.0, 3012527.0, 3013385.0, 3013564.0, 3014385.0, 3014473.0, 3015117.0, 3016170.0, 3016279.0, 3016312.0, 3016666.0, 3016909.0, 3017073.0, 3017278.0, 3017693.0, 3019773.0]",150
"C35180C1 - Carpentry/General Contractor's Lic Prep Certificate, D35180 - Carpentry (Diploma)","[77307.0, 294498.0, 775452.0, 1346320.0, 1417881.0, 1530480.0, 2556278.0, 2608988.0, 2618246.0, 2620682.0, 2625290.0, 2654422.0, 2661205.0, 2662034.0, 2697561.0, 2728516.0, 2824579.0, 2826794.0, 2830233.0, 2832575.0, 2832675.0, 2906617.0, 2915757.0, 2917783.0, 2918127.0, 2933308.0, 2941220.0, 2962499.0, 2963693.0, 2972599.0, 2977690.0, 2983526.0, 2986011.0, 2987469.0, 2992686.0, 2993998.0, 2994822.0, 2997645.0, 2999540.0, 3000571.0, 3001848.0, 3006131.0, 3006347.0, 3009143.0, 3009545.0, 3015503.0, 3016103.0]",47
"C35300C1 - Plumbing (Diploma)/Basic Plumbing Certificate, D35300 - Plumbing (Diploma)","[655577.0, 1188001.0, 1566636.0, 2437034.0, 2576211.0, 2614028.0, 2655834.0, 2676390.0, 2680777.0, 2682790.0, 2689526.0, 2692496.0, 2692562.0, 2720416.0, 2723589.0, 2824249.0, 2829295.0, 2858359.0, 2897823.0, 2898744.0, 2901900.0, 2915528.0, 2925097.0, 2945812.0, 2961873.0, 2964012.0, 2965496.0, 2984562.0, 2987287.0, 2989090.0, 2989895.0, 2993414.0, 2996390.0, 3007381.0, 3007745.0, 3008553.0, 3010011.0, 3010674.0, 3015883.0, 3016995.0, 3020609.0]",41
"C35100 - Basic A/C, Heating & Refrigeration, D35100 - Air Conditioning, Heating & Refrigeration Technology Diploma","[182585.0, 662027.0, 886082.0, 2504625.0, 2567135.0, 2573467.0, 2613379.0, 2617098.0, 2617664.0, 2617888.0, 2651584.0, 2706643.0, 2738303.0, 2745586.0, 2825958.0, 2841659.0, 2877917.0, 2893873.0, 2917100.0, 2920302.0, 2960704.0, 2960751.0, 2962519.0, 2964454.0, 2966298.0, 2986043.0, 2990666.0, 2997889.0, 2999461.0, 2999894.0, 3000853.0, 3004432.0, 3005088.0, 3006114.0, 3007805.0, 3009921.0]",36
"C25120C10 - Business Administration /Business Foundations Certificate, C25120C11 - Business Administration/Small Business Operations Cert, C25120C22 - Business Administration /Leadership and Mgt Certificate, C25120C9 - Business Administration /Organizational Leadership Cert","[107431.0, 696060.0, 770778.0, 1227062.0, 1302944.0, 2549085.0, 2568593.0, 2600273.0, 2688810.0, 2689137.0, 2692853.0, 2737929.0, 2743386.0, 2825540.0, 2826732.0, 2837036.0, 2843649.0, 2848307.0, 2892281.0, 2893845.0, 2901215.0, 2901943.0, 2915679.0, 2933187.0, 2950087.0, 2951708.0, 2961631.0, 2966775.0, 2989206.0]",29
"C25120C11 - Business Administration/Small Business Operations Cert, C25120C22 - Business Administration /Leadership and Mgt Certificate, C25120C9 - Business Administration /Organizational Leadership Cert","[144870.0, 297104.0, 845357.0, 1071126.0, 2503966.0, 2542420.0, 2564267.0, 2569753.0, 2576601.0, 2599864.0, 2682819.0, 2765233.0, 2808747.0, 2821683.0, 2825148.0, 2826142.0, 2848212.0, 2854661.0, 2917906.0, 2918989.0, 2923224.0, 2929960.0, 2941908.0, 2969193.0]",24
"C35130C3 - Electrical Systems Technology/Basic Residential Wiring Cert, D35130 - Electrical System Technology Diploma","[1496319.0, 2533170.0, 2602441.0, 2614734.0, 2756895.0, 2764753.0, 2860815.0, 2908499.0, 2964314.0, 2983580.0, 2984055.0, 2994779.0, 2999469.0, 2999854.0, 3000185.0, 3002385.0, 3004063.0, 3007520.0, 3009561.0, 3012294.0, 3017092.0]",21
"C25120C22 - Business Administration /Leadership and Mgt Certificate, C25120C9 - Business Administration /Organizational Leadership Cert","[1113145.0, 1380229.0, 2504002.0, 2520114.0, 2557134.0, 2643927.0, 2847911.0, 2869234.0, 2871863.0, 2874970.0, 2900477.0, 2909237.0, 2923767.0, 2933924.0, 2950901.0, 2962306.0, 2983989.0]",17
"C25120C17 - Business Administration /Equal Opp & Emp Relations Cert, C25120C19 - Business Administration /Payroll & Benefits Specialist Cert","[1073534.0, 1573489.0, 2204195.0, 2491595.0, 2682034.0, 2695376.0, 2777401.0, 2779704.0, 2785039.0, 2812496.0, 2866960.0, 2888806.0, 2898511.0, 2925624.0, 2938383.0, 2953649.0]",16
"C55240C2 - Fire Protection Technology/Fundamentals of Arson Certificate, C55240C3 - Fire Protection Technology/Fire Service Mgmt Certificate","[1188452.0, 2241790.0, 2489801.0, 2513242.0, 2527010.0, 2584481.0, 2666684.0, 2840223.0, 2939909.0, 2942522.0, 2957956.0, 2968569.0, 2968638.0, 2981987.0]",14
